商品ID,标题,价格,销量,店铺,链接
974143283312,"1688同款/相似款优质货源 
      暂无数据
      发布同款 本次关闭显示   开关设置      插件设",,,,https://item.taobao.com/item.htm?id=974143283312&xxc=home_recommend&scm=1007.40986.467924.0&pvid=fbca0327-2f98-446f-9732-88b82f8d5040&skuId=6122339943453&mi_id=00008YrYN4yWvUIulqiBE083tBPm4vEMlK3F2FkErNPFLV8&utparam=%7B%22item_ctr%22%3A0.11906465888023376%2C%22x_object_type%22%3A%22item%22%2C%22matchType%22%3A%22nann_base%22%2C%22item_price%22%3A%227999%22%2C%22item_cvr%22%3A0.00014203786849975586%2C%22umpCalled%22%3Atrue%2C%22pc_ctr%22%3A0.06737497448921204%2C%22pc_scene%22%3A%2220001%22%2C%22userId%22%3A12808293%2C%22ab_info%22%3A%2230986%23467924%230_30986%23528214%2358507_30986%23527807%2358418_30986%23537217%2360408_30986%23521582%2357267_30986%23526067%2358189_30986%23533297%2359487_30986%23528944%2357910_30986%23530923%2359037_30986%23532805%2359017_30986%23528109%2358485_30986%23545019%2362063_30986%23537488%2360469_30986%23546628%2362403_30986%23537987%2360586_30986%23547837%2362654_30986%23538037%2360595%22%2C%22tpp_buckets%22%3A%2230986%23467924%230_30986%23528214%2358507_30986%23527807%2358418_30986%23537217%2360408_30986%23521582%2357267_30986%23526067%2358189_30986%23533297%2359487_30986%23528944%2357910_30986%23530923%2359037_30986%23532805%2359017_30986%23528109%2358485_30986%23545019%2362063_30986%23537488%2360469_30986%23546628%2362403_30986%23537987%2360586_30986%23547837%2362654_30986%23538037%2360595%22%2C%22aplus_abtest%22%3A%2259dd0af0a20274cf5a4e5156f5263787%22%2C%22isLogin%22%3Atrue%2C%22abid%22%3A%22528214_527807_537217_521582_526067_533297_528944_530923_532805_528109_545019_537488_546628_537987_547837_538037%22%2C%22pc_pvid%22%3A%22fbca0327-2f98-446f-9732-88b82f8d5040%22%2C%22isWeekLogin%22%3Afalse%2C%22pc_alg_score%22%3A0.20300550713682%2C%22rn%22%3A0%2C%22item_ecpm%22%3A0%2C%22ump_price%22%3A%227999%22%2C%22isXClose%22%3Afalse%2C%22x_object_id%22%3A974143283312%7D&
1044743277735,"1688同款/相似款优质货源 
      暂无数据
      发布同款 本次关闭显示   开关设置      插件设",,,,https://item.taobao.com/item.htm?id=1044743277735&xxc=home_recommend&scm=1007.40986.467924.0&pvid=fbca0327-2f98-446f-9732-88b82f8d5040&skuId=6067531093881&mi_id=0000SMHJ7VtPAcrxymNavQthXME2MYxFiBE6zRZpWwTlbKo&utparam=%7B%22item_ctr%22%3A0.07791975140571594%2C%22x_object_type%22%3A%22item%22%2C%22matchType%22%3A%22dm_pvlist_odl%22%2C%22item_price%22%3A%2251%22%2C%22item_cvr%22%3A0.001949399709701538%2C%22umpCalled%22%3Atrue%2C%22pc_ctr%22%3A0.03924393653869629%2C%22pc_scene%22%3A%2220001%22%2C%22userId%22%3A12808293%2C%22ab_info%22%3A%2230986%23467924%230_30986%23528214%2358507_30986%23527807%2358418_30986%23537217%2360408_30986%23521582%2357267_30986%23526067%2358189_30986%23533297%2359487_30986%23528944%2357910_30986%23530923%2359037_30986%23532805%2359017_30986%23528109%2358485_30986%23545019%2362063_30986%23537488%2360469_30986%23546628%2362403_30986%23537987%2360586_30986%23547837%2362654_30986%23538037%2360595%22%2C%22tpp_buckets%22%3A%2230986%23467924%230_30986%23528214%2358507_30986%23527807%2358418_30986%23537217%2360408_30986%23521582%2357267_30986%23526067%2358189_30986%23533297%2359487_30986%23528944%2357910_30986%23530923%2359037_30986%23532805%2359017_30986%23528109%2358485_30986%23545019%2362063_30986%23537488%2360469_30986%23546628%2362403_30986%23537987%2360586_30986%23547837%2362654_30986%23538037%2360595%22%2C%22aplus_abtest%22%3A%2213061f0d7c5e71d3bb06f275d32f6d05%22%2C%22isLogin%22%3Atrue%2C%22abid%22%3A%22528214_527807_537217_521582_526067_533297_528944_530923_532805_528109_545019_537488_546628_537987_547837_538037%22%2C%22pc_pvid%22%3A%22fbca0327-2f98-446f-9732-88b82f8d5040%22%2C%22isWeekLogin%22%3Afalse%2C%22pc_alg_score%22%3A0.1255558325036%2C%22rn%22%3A1%2C%22item_ecpm%22%3A0%2C%22ump_price%22%3A%2251%22%2C%22isXClose%22%3Afalse%2C%22x_object_id%22%3A1044743277735%7D&
960451722310,"1688同款/相似款优质货源 
      暂无数据
      发布同款 本次关闭显示   开关设置      插件设",,,,https://item.taobao.com/item.htm?id=960451722310&xxc=home_recommend&scm=1007.40986.467924.0&pvid=fbca0327-2f98-446f-9732-88b82f8d5040&skuId=6057940969565&mi_id=0000L17lmc_wkuPUvrCn4cbOxCgelRWQr8OSubP5AY_bTA0&utparam=%7B%22item_ctr%22%3A0.13171923160552979%2C%22x_object_type%22%3A%22item%22%2C%22matchType%22%3A%22nann_base%22%2C%22item_price%22%3A%22123.89%22%2C%22item_cvr%22%3A0.00015968084335327148%2C%22umpCalled%22%3Atrue%2C%22pc_ctr%22%3A0.040921568870544434%2C%22pc_scene%22%3A%2220001%22%2C%22userId%22%3A12808293%2C%22ab_info%22%3A%2230986%23467924%230_30986%23528214%2358507_30986%23527807%2358418_30986%23537217%2360408_30986%23521582%2357267_30986%23526067%2358189_30986%23533297%2359487_30986%23528944%2357910_30986%23530923%2359037_30986%23532805%2359017_30986%23528109%2358485_30986%23545019%2362063_30986%23537488%2360469_30986%23546628%2362403_30986%23537987%2360586_30986%23547837%2362654_30986%23538037%2360595%22%2C%22tpp_buckets%22%3A%2230986%23467924%230_30986%23528214%2358507_30986%23527807%2358418_30986%23537217%2360408_30986%23521582%2357267_30986%23526067%2358189_30986%23533297%2359487_30986%23528944%2357910_30986%23530923%2359037_30986%23532805%2359017_30986%23528109%2358485_30986%23545019%2362063_30986%23537488%2360469_30986%23546628%2362403_30986%23537987%2360586_30986%23547837%2362654_30986%23538037%2360595%22%2C%22aplus_abtest%22%3A%22000b0ffb50de45bd81a2eaad73b9185d%22%2C%22isLogin%22%3Atrue%2C%22abid%22%3A%22528214_527807_537217_521582_526067_533297_528944_530923_532805_528109_545019_537488_546628_537987_547837_538037%22%2C%22pc_pvid%22%3A%22fbca0327-2f98-446f-9732-88b82f8d5040%22%2C%22isWeekLogin%22%3Afalse%2C%22pc_alg_score%22%3A0.12328174709294%2C%22rn%22%3A3%2C%22item_ecpm%22%3A0%2C%22ump_price%22%3A%22123.89%22%2C%22isXClose%22%3Afalse%2C%22x_object_id%22%3A960451722310%7D&
1047371537588,"1688同款/相似款优质货源 
      暂无数据
      发布同款 本次关闭显示   开关设置      插件设",,,,https://item.taobao.com/item.htm?id=1047371537588&xxc=home_recommend&scm=1007.40986.467924.0&pvid=fbca0327-2f98-446f-9732-88b82f8d5040&skuId=6237736390863&mi_id=0000sxZPxMlsiNVEKteCEcswvPzDf6N8MsvhR-nBs5P_T5A&utparam=%7B%22item_ctr%22%3A0.05148816108703613%2C%22x_object_type%22%3A%22item%22%2C%22matchType%22%3A%22xhot%22%2C%22item_price%22%3A%228.39%22%2C%22item_cvr%22%3A0.016914933919906616%2C%22umpCalled%22%3Atrue%2C%22pc_ctr%22%3A0.020249754190444946%2C%22pc_scene%22%3A%2220001%22%2C%22userId%22%3A12808293%2C%22ab_info%22%3A%2230986%23467924%230_30986%23528214%2358507_30986%23527807%2358418_30986%23537217%2360408_30986%23521582%2357267_30986%23526067%2358189_30986%23533297%2359487_30986%23528944%2357910_30986%23530923%2359037_30986%23532805%2359017_30986%23528109%2358485_30986%23545019%2362063_30986%23537488%2360469_30986%23546628%2362403_30986%23537987%2360586_30986%23547837%2362654_30986%23538037%2360595%22%2C%22tpp_buckets%22%3A%2230986%23467924%230_30986%23528214%2358507_30986%23527807%2358418_30986%23537217%2360408_30986%23521582%2357267_30986%23526067%2358189_30986%23533297%2359487_30986%23528944%2357910_30986%23530923%2359037_30986%23532805%2359017_30986%23528109%2358485_30986%23545019%2362063_30986%23537488%2360469_30986%23546628%2362403_30986%23537987%2360586_30986%23547837%2362654_30986%23538037%2360595%22%2C%22aplus_abtest%22%3A%2213f321f152da1e0d763da9135ede957b%22%2C%22isLogin%22%3Atrue%2C%22abid%22%3A%22528214_527807_537217_521582_526067_533297_528944_530923_532805_528109_545019_537488_546628_537987_547837_538037%22%2C%22pc_pvid%22%3A%22fbca0327-2f98-446f-9732-88b82f8d5040%22%2C%22isWeekLogin%22%3Afalse%2C%22pc_alg_score%22%3A0.103566674054%2C%22rn%22%3A4%2C%22item_ecpm%22%3A0%2C%22ump_price%22%3A%228.39%22%2C%22isXClose%22%3Afalse%2C%22x_object_id%22%3A1047371537588%7D
951662997679,"1688同款/相似款优质货源 
      暂无数据
      发布同款 本次关闭显示   开关设置      插件设",,,,https://item.taobao.com/item.htm?id=951662997679&xxc=home_recommend&scm=1007.40986.467924.0&pvid=fbca0327-2f98-446f-9732-88b82f8d5040&skuId=5866874624977&mi_id=0000WrKCGmKSMKHJCb_SdPfeU45tlo1HgVH8NFpLFxYGWxg&utparam=%7B%22item_ctr%22%3A0.03182131052017212%2C%22x_object_type%22%3A%22item%22%2C%22matchType%22%3A%22nann_base%22%2C%22item_price%22%3A%2242.1%22%2C%22item_cvr%22%3A0.00030297040939331055%2C%22umpCalled%22%3Atrue%2C%22pc_ctr%22%3A0.029937833547592163%2C%22pc_scene%22%3A%2220001%22%2C%22userId%22%3A12808293%2C%22ab_info%22%3A%2230986%23467924%230_30986%23528214%2358507_30986%23527807%2358418_30986%23537217%2360408_30986%23521582%2357267_30986%23526067%2358189_30986%23533297%2359487_30986%23528944%2357910_30986%23530923%2359037_30986%23532805%2359017_30986%23528109%2358485_30986%23545019%2362063_30986%23537488%2360469_30986%23546628%2362403_30986%23537987%2360586_30986%23547837%2362654_30986%23538037%2360595%22%2C%22tpp_buckets%22%3A%2230986%23467924%230_30986%23528214%2358507_30986%23527807%2358418_30986%23537217%2360408_30986%23521582%2357267_30986%23526067%2358189_30986%23533297%2359487_30986%23528944%2357910_30986%23530923%2359037_30986%23532805%2359017_30986%23528109%2358485_30986%23545019%2362063_30986%23537488%2360469_30986%23546628%2362403_30986%23537987%2360586_30986%23547837%2362654_30986%23538037%2360595%22%2C%22aplus_abtest%22%3A%22892721ada62a7558e7feb6bf041f2c88%22%2C%22isLogin%22%3Atrue%2C%22abid%22%3A%22528214_527807_537217_521582_526067_533297_528944_530923_532805_528109_545019_537488_546628_537987_547837_538037%22%2C%22pc_pvid%22%3A%22fbca0327-2f98-446f-9732-88b82f8d5040%22%2C%22isWeekLogin%22%3Afalse%2C%22pc_alg_score%22%3A0.09059484660031%2C%22rn%22%3A5%2C%22item_ecpm%22%3A0%2C%22ump_price%22%3A%2242.1%22%2C%22isXClose%22%3Afalse%2C%22x_object_id%22%3A951662997679%7D&
638021301767,"1688同款/相似款优质货源 
      暂无数据
      发布同款 本次关闭显示   开关设置      插件设",,,,https://item.taobao.com/item.htm?id=638021301767&xxc=home_recommend&scm=1007.40986.467924.0&pvid=fbca0327-2f98-446f-9732-88b82f8d5040&skuId=4751529059952&mi_id=0000en3CzWTnv6--0sfa50xrpwq-PFM6SYghp6VlcqOBRV4&utparam=%7B%22item_ctr%22%3A0.09963926672935486%2C%22x_object_type%22%3A%22item%22%2C%22matchType%22%3A%22dm_pvlist_odl%22%2C%22item_price%22%3A%22157%22%2C%22item_cvr%22%3A0.00033280253410339355%2C%22umpCalled%22%3Atrue%2C%22pc_ctr%22%3A0.027591198682785034%2C%22pc_scene%22%3A%2220001%22%2C%22userId%22%3A12808293%2C%22ab_info%22%3A%2230986%23467924%230_30986%23528214%2358507_30986%23527807%2358418_30986%23537217%2360408_30986%23521582%2357267_30986%23526067%2358189_30986%23533297%2359487_30986%23528944%2357910_30986%23530923%2359037_30986%23532805%2359017_30986%23528109%2358485_30986%23545019%2362063_30986%23537488%2360469_30986%23546628%2362403_30986%23537987%2360586_30986%23547837%2362654_30986%23538037%2360595%22%2C%22tpp_buckets%22%3A%2230986%23467924%230_30986%23528214%2358507_30986%23527807%2358418_30986%23537217%2360408_30986%23521582%2357267_30986%23526067%2358189_30986%23533297%2359487_30986%23528944%2357910_30986%23530923%2359037_30986%23532805%2359017_30986%23528109%2358485_30986%23545019%2362063_30986%23537488%2360469_30986%23546628%2362403_30986%23537987%2360586_30986%23547837%2362654_30986%23538037%2360595%22%2C%22aplus_abtest%22%3A%22443d85623f82f0eb01892a8859d30269%22%2C%22isLogin%22%3Atrue%2C%22abid%22%3A%22528214_527807_537217_521582_526067_533297_528944_530923_532805_528109_545019_537488_546628_537987_547837_538037%22%2C%22pc_pvid%22%3A%22fbca0327-2f98-446f-9732-88b82f8d5040%22%2C%22isWeekLogin%22%3Afalse%2C%22pc_alg_score%22%3A0.08358842908251%2C%22rn%22%3A7%2C%22item_ecpm%22%3A0%2C%22ump_price%22%3A%22157%22%2C%22isXClose%22%3Afalse%2C%22x_object_id%22%3A638021301767%7D&
1046615340556,"1688同款/相似款优质货源 
      暂无数据
      发布同款 本次关闭显示   开关设置      插件设",,,,https://item.taobao.com/item.htm?id=1046615340556&xxc=home_recommend&scm=1007.40986.467924.0&pvid=fbca0327-2f98-446f-9732-88b82f8d5040&mi_id=0000nSQx-r_v_oCCFlcW_nGeUJ6GleVSoTIqvxboWvIipQE&utparam=%7B%22item_ctr%22%3A0.045619428157806396%2C%22x_object_type%22%3A%22item%22%2C%22matchType%22%3A%22dm_pvlist_odl%22%2C%22item_price%22%3A%226.99%22%2C%22item_cvr%22%3A0.013689488172531128%2C%22umpCalled%22%3Atrue%2C%22pc_ctr%22%3A0.01668030023574829%2C%22pc_scene%22%3A%2220001%22%2C%22userId%22%3A12808293%2C%22ab_info%22%3A%2230986%23467924%230_30986%23528214%2358507_30986%23527807%2358418_30986%23537217%2360408_30986%23521582%2357267_30986%23526067%2358189_30986%23533297%2359487_30986%23528944%2357910_30986%23530923%2359037_30986%23532805%2359017_30986%23528109%2358485_30986%23545019%2362063_30986%23537488%2360469_30986%23546628%2362403_30986%23537987%2360586_30986%23547837%2362654_30986%23538037%2360595%22%2C%22tpp_buckets%22%3A%2230986%23467924%230_30986%23528214%2358507_30986%23527807%2358418_30986%23537217%2360408_30986%23521582%2357267_30986%23526067%2358189_30986%23533297%2359487_30986%23528944%2357910_30986%23530923%2359037_30986%23532805%2359017_30986%23528109%2358485_30986%23545019%2362063_30986%23537488%2360469_30986%23546628%2362403_30986%23537987%2360586_30986%23547837%2362654_30986%23538037%2360595%22%2C%22aplus_abtest%22%3A%22f1dcecdd1f46d64ed86b110b90f00fcc%22%2C%22isLogin%22%3Atrue%2C%22abid%22%3A%22528214_527807_537217_521582_526067_533297_528944_530923_532805_528109_545019_537488_546628_537987_547837_538037%22%2C%22pc_pvid%22%3A%22fbca0327-2f98-446f-9732-88b82f8d5040%22%2C%22isWeekLogin%22%3Afalse%2C%22pc_alg_score%22%3A0.0804335742421%2C%22rn%22%3A9%2C%22item_ecpm%22%3A0%2C%22ump_price%22%3A%226.99%22%2C%22isXClose%22%3Afalse%2C%22x_object_id%22%3A1046615340556%7D&
962344852419,"1688同款/相似款优质货源 
      暂无数据
      发布同款 本次关闭显示   开关设置      插件设",,,,https://item.taobao.com/item.htm?id=962344852419&xxc=home_recommend&scm=1007.40986.467924.0&pvid=fbca0327-2f98-446f-9732-88b82f8d5040&skuId=6060635314500&mi_id=0000AM0YgNRo6n8_6oBJq0ZozNrI1nYFSbaEtn5VjRRJAjo&utparam=%7B%22item_ctr%22%3A0.07044276595115662%2C%22x_object_type%22%3A%22item%22%2C%22matchType%22%3A%22disc_dm_interest%22%2C%22item_price%22%3A%2217.7%22%2C%22item_cvr%22%3A0.0030160844326019287%2C%22umpCalled%22%3Atrue%2C%22pc_ctr%22%3A0.020493268966674805%2C%22pc_scene%22%3A%2220001%22%2C%22userId%22%3A12808293%2C%22ab_info%22%3A%2230986%23467924%230_30986%23528214%2358507_30986%23527807%2358418_30986%23537217%2360408_30986%23521582%2357267_30986%23526067%2358189_30986%23533297%2359487_30986%23528944%2357910_30986%23530923%2359037_30986%23532805%2359017_30986%23528109%2358485_30986%23545019%2362063_30986%23537488%2360469_30986%23546628%2362403_30986%23537987%2360586_30986%23547837%2362654_30986%23538037%2360595%22%2C%22tpp_buckets%22%3A%2230986%23467924%230_30986%23528214%2358507_30986%23527807%2358418_30986%23537217%2360408_30986%23521582%2357267_30986%23526067%2358189_30986%23533297%2359487_30986%23528944%2357910_30986%23530923%2359037_30986%23532805%2359017_30986%23528109%2358485_30986%23545019%2362063_30986%23537488%2360469_30986%23546628%2362403_30986%23537987%2360586_30986%23547837%2362654_30986%23538037%2360595%22%2C%22aplus_abtest%22%3A%22f24b581976f3da2d28850c18d0be220e%22%2C%22isLogin%22%3Atrue%2C%22abid%22%3A%22528214_527807_537217_521582_526067_533297_528944_530923_532805_528109_545019_537488_546628_537987_547837_538037%22%2C%22pc_pvid%22%3A%22fbca0327-2f98-446f-9732-88b82f8d5040%22%2C%22isWeekLogin%22%3Afalse%2C%22pc_alg_score%22%3A0.0684305293241%2C%22rn%22%3A10%2C%22item_ecpm%22%3A0%2C%22ump_price%22%3A%2217.7%22%2C%22isXClose%22%3Afalse%2C%22x_object_id%22%3A962344852419%7D&
1031743346948,"1688同款/相似款优质货源 
      暂无数据
      发布同款 本次关闭显示   开关设置      插件设",,,,https://item.taobao.com/item.htm?id=1031743346948&xxc=home_recommend&scm=1007.40986.467924.0&pvid=fbca0327-2f98-446f-9732-88b82f8d5040&skuId=6046868633401&mi_id=0000TrMbvUhX8JuVo-ttivzCn6nB9qRV7vtfpjy8Rn3bLGA&utparam=%7B%22item_ctr%22%3A0.18232974410057068%2C%22x_object_type%22%3A%22item%22%2C%22matchType%22%3A%22nann_base%22%2C%22item_price%22%3A%222222.3%22%2C%22item_cvr%22%3A0.00001952052116394043%2C%22umpCalled%22%3Atrue%2C%22pc_ctr%22%3A0.0554564893245697%2C%22pc_scene%22%3A%2220001%22%2C%22userId%22%3A12808293%2C%22ab_info%22%3A%2230986%23467924%230_30986%23528214%2358507_30986%23527807%2358418_30986%23537217%2360408_30986%23521582%2357267_30986%23526067%2358189_30986%23533297%2359487_30986%23528944%2357910_30986%23530923%2359037_30986%23532805%2359017_30986%23528109%2358485_30986%23545019%2362063_30986%23537488%2360469_30986%23546628%2362403_30986%23537987%2360586_30986%23547837%2362654_30986%23538037%2360595%22%2C%22tpp_buckets%22%3A%2230986%23467924%230_30986%23528214%2358507_30986%23527807%2358418_30986%23537217%2360408_30986%23521582%2357267_30986%23526067%2358189_30986%23533297%2359487_30986%23528944%2357910_30986%23530923%2359037_30986%23532805%2359017_30986%23528109%2358485_30986%23545019%2362063_30986%23537488%2360469_30986%23546628%2362403_30986%23537987%2360586_30986%23547837%2362654_30986%23538037%2360595%22%2C%22aplus_abtest%22%3A%228dcda77fbd8a63bbaea4607245a861eb%22%2C%22isLogin%22%3Atrue%2C%22abid%22%3A%22528214_527807_537217_521582_526067_533297_528944_530923_532805_528109_545019_537488_546628_537987_547837_538037%22%2C%22pc_pvid%22%3A%22fbca0327-2f98-446f-9732-88b82f8d5040%22%2C%22isWeekLogin%22%3Afalse%2C%22pc_alg_score%22%3A0.166441137272894%2C%22rn%22%3A12%2C%22item_ecpm%22%3A0%2C%22ump_price%22%3A%222222.3%22%2C%22isXClose%22%3Afalse%2C%22x_object_id%22%3A1031743346948%7D&
908926542077,"1688同款/相似款优质货源 
      暂无数据
      发布同款 本次关闭显示   开关设置      插件设",,,,https://item.taobao.com/item.htm?id=908926542077&xxc=home_recommend&scm=1007.40986.467924.0&pvid=fbca0327-2f98-446f-9732-88b82f8d5040&skuId=5938390459899&mi_id=0000CrMJ0PIWWzEUCVNceg6PhbvAj4O2R7VSHt-C1emqrkY&utparam=%7B%22item_ctr%22%3A0.05272781848907471%2C%22x_object_type%22%3A%22item%22%2C%22matchType%22%3A%22dm_pvlist_odl%22%2C%22item_price%22%3A%2278.31%22%2C%22item_cvr%22%3A0.00445103645324707%2C%22umpCalled%22%3Atrue%2C%22pc_ctr%22%3A0.01909390091896057%2C%22pc_scene%22%3A%2220001%22%2C%22userId%22%3A12808293%2C%22ab_info%22%3A%2230986%23467924%230_30986%23528214%2358507_30986%23527807%2358418_30986%23537217%2360408_30986%23521582%2357267_30986%23526067%2358189_30986%23533297%2359487_30986%23528944%2357910_30986%23530923%2359037_30986%23532805%2359017_30986%23528109%2358485_30986%23545019%2362063_30986%23537488%2360469_30986%23546628%2362403_30986%23537987%2360586_30986%23547837%2362654_30986%23538037%2360595%22%2C%22tpp_buckets%22%3A%2230986%23467924%230_30986%23528214%2358507_30986%23527807%2358418_30986%23537217%2360408_30986%23521582%2357267_30986%23526067%2358189_30986%23533297%2359487_30986%23528944%2357910_30986%23530923%2359037_30986%23532805%2359017_30986%23528109%2358485_30986%23545019%2362063_30986%23537488%2360469_30986%23546628%2362403_30986%23537987%2360586_30986%23547837%2362654_30986%23538037%2360595%22%2C%22aplus_abtest%22%3A%221b8a7a2e2d468099c3c520ac559a7035%22%2C%22isLogin%22%3Atrue%2C%22abid%22%3A%22528214_527807_537217_521582_526067_533297_528944_530923_532805_528109_545019_537488_546628_537987_547837_538037%22%2C%22pc_pvid%22%3A%22fbca0327-2f98-446f-9732-88b82f8d5040%22%2C%22isWeekLogin%22%3Afalse%2C%22pc_alg_score%22%3A0.0673380192586%2C%22rn%22%3A14%2C%22item_ecpm%22%3A0%2C%22ump_price%22%3A%2278.31%22%2C%22isXClose%22%3Afalse%2C%22x_object_id%22%3A908926542077%7D&
